Transaction date,Card last 4,Purchased amount,Purchased currency,Merchant,Merchant category,Payment status,Policy,Amount,Currency,Itemized expense parent ID,Expense status,Transaction type,Expense ID,Created from URL,Card transaction reference ID,Original amount,Original currency,Spending entity
03/26/2026,1706,-47.4,EUR,Florclick.com,Flowers,Refunded,leadership,-56.56,USD,,Approved,Card,expense_cmnqs9g4w3ar401659l78fin1,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbnFzOWc0dzNhcjQwMTY1OWw3OGZpbjE=,ctxop_cmnqs9etk1guw01807dd3dsiw,-47.4,EUR,Hadar Shemesh International (LLC)
03/31/2026,2119,11.08,USD,Claude,Recurring software & SaaS,Completed,General,11.08,USD,,Approved,Card,expense_cmnf5geuj8l7t0128lz41qbmj,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmY1Z2V1ajhsN3QwMTI4bHo0MXFibWo=,ctxop_cmnfg5rf219ns016439y8qj26,11.08,USD,Hadar Shemesh International (LLC)
03/31/2026,6004,68.39,EUR,Ikea,Furniture,Completed,Private,81.22,USD,,Submitted,Card,expense_cmney4m78issu01002a2ghscb,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmV5NG03OGlzc3UwMTAwMmEyZ2hzY2I=,ctxop_cmnfn1sep0y070192e3fz7ti6,68.39,EUR,Hadar Shemesh International (LLC)
03/25/2026,6004,-346.96,USD,Holiday Lines Ltd,Other travel expenses,Refunded,Private,-346.96,USD,,Approved,Card,expense_cmne7cope2lqx0156pnv0h608,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmU3Y29wZTJscXgwMTU2cG52MGg2MDg=,ctxop_cmne7cne92r1h0103c07wurz5,-346.96,USD,Hadar Shemesh International (LLC)
03/30/2026,6004,38.49,EUR,Josep Tarradellas Barcelona-El Prat Airport,Airline expenses,Completed,Private,45.82,USD,,Submitted,Card,expense_cmndh7tv1q2wt0190udn2n4nt,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmRoN3R2MXEyd3QwMTkwdWRuMm40bnQ=,ctxop_cmne7vyrw3ede0103qwwlhxkz,38.49,EUR,Hadar Shemesh International (LLC)
03/30/2026,6004,9.85,EUR,PromptSmart,Recurring software & SaaS,Completed,Private,11.73,USD,,Submitted,Card,expense_cmnd50emlknt00160j503223x,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmQ1MGVtbGtudDAwMTYwajUwMzIyM3g=,ctxop_cmndw1yv915mf0124phh7wz1d,9.85,EUR,Hadar Shemesh International (LLC)
03/29/2026,2119,29.56,EUR,Amazon Lub,General merchandise,Completed,General,35.20,USD,,Approved,Card,expense_cmnc9clfebzsj0190s148rdwq,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmM5Y2xmZWJ6c2owMTkwczE0OHJkd3E=,ctxop_cmnd3prcqdvcc01195wwyy4yq,29.56,EUR,Hadar Shemesh International (LLC)
03/29/2026,2119,124.82,USD,ManyChat,Advertising & marketing,Completed,General,124.82,USD,,Approved,Card,expense_cmnbup4okauuu01282lo9vt12,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmJ1cDRva2F1dXUwMTI4MmxvOXZ0MTI=,ctxop_cmncfyordb5ji0119tm5uer9r,124.82,USD,Hadar Shemesh International (LLC)
03/29/2026,2119,40,USD,Loom,Recurring software & SaaS,Completed,General,40.00,USD,,Approved,Card,expense_cmnbo8r208vyq0128sy1kr9qe,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmJvOHIyMDh2eXEwMTI4c3kxa3I5cWU=,ctxop_cmncg2z7a0ut10125rhkvv1fj,40,USD,Hadar Shemesh International (LLC)
03/28/2026,2119,62.64,EUR,Amazon Lub,General merchandise,Completed,General,74.58,USD,,Approved,Card,expense_cmnaoi72fg2jj0126ywuzy4sg,https://dashboard.brex.com/p/expenses/all?expenseId=RXhwZW5zZTpleHBlbnNlX2NtbmFvaTcyZmcyamowMTI2eXd1enk0c2c=,ctxop_cmnd8m9swf3sa01419gv3h89c,62.64,EUR,Hadar Shemesh International (LLC)
