product_id,program,product,plan,product_label,status,upsell_link,AMAUNT,create_date_unix,sales_volume,installments,units / package,type
240,Beyond,Beyond,Beyond (6 months Payment) [id240],beyond-6m 2025 [without sidebar],active,https://hadarshemesh.thrivecart.com/beyond-6m/,186,1725439157,283,6,,installments
246,Beyond,Beyond,Beyond (6 months Payment) [id246],beyond-6m 2025 [without sidebar],active,https://hadarshemesh.thrivecart.com/beyond-6-months/,186,1732182074,23,6,,installments
1,Beyond,Beyond,Beyond Monthly Membership,beyond-m $39 2026,active,https://hadarshemesh.thrivecart.com/beyond-m,37,1593013112,3592,1,,subscription
2,Beyond,Beyond,Beyond - Annual x $290 [id2],beyond-y,active,https://hadarshemesh.thrivecart.com/beyond-y/,290,1593433677,518,1,,subscription
234,Beyond,Beyond,Beyond (Monthly Payment) [id234],beyond monthly $37 w/out sidebar (Sep 2024),active,https://hadarshemesh.thrivecart.com/beyond-mo/,7,1724521059,873,1,,one-payment
239,Beyond,Beyond,Beyond - monthly subscription [id239],beyond monthly $37 with sidebar (Sep 2024),active,https://hadarshemesh.thrivecart.com/beyond-monthly/,37,1725437293,44,1,,one-payment
254,Beyond,Beyond,Beyond &ndash; Semi-Annual Membership,beyond-6mo $189 2026,active,https://hadarshemesh.thrivecart.com/beyond-6mo/,189,1742212862,194,,,subscription
255,Beyond,Beyond,Beyond - Monthly x $37 [p-id255],beyond-m $37 discount $7,active,https://hadarshemesh.thrivecart.com/beyond-m-p-id255/,,1742213521,85,,,subscription
263,Beyond,Beyond,Beyond Membership (1st month FREE ),ns-beyond-m $37 2025 30-day trial,active,https://hadarshemesh.thrivecart.com/ns-beyond-m/,0,1747211660,159,,,subscription
264,Beyond,Beyond,Beyond [Semi-Annual Membership],ns-beyond-6m 2025 30-day trial,active,https://hadarshemesh.thrivecart.com/ns-beyond-6m/,185,1747230529,115,,,subscription
268,Beyond,Beyond,Beyond Monthly Membership (legacy),beyond-m $29,active,https://hadarshemesh.thrivecart.com/beyond-m-legacy/,29,1750921030,8,,,one-payment
285,Beyond,Beyond,Beyond &ndash; Annual Membership,beyond-annual $299 2026,active,https://hadarshemesh.thrivecart.com/beyond-annual/,299,1767796060,132,,,one-payment
